Date	Steps	Weekday	Weekend	WFH	Office	Breakfast
1	6447	Y	N	Y	N	N
2	9896	N	Y	N	N	Y
3	11697	N	Y	N	N	Y
4	7875	Y	N	Y	N	N
5	16074	Y	N	N	Y	Y
6	13676	Y	N	N	Y	Y
7	5539	Y	N	Y	N	N
8	5983	Y	N	N	Y	Y
9	14734	N	Y	N	N	Y
10	17734	N	Y	N	N	Y
11	18088	Y	N	N	Y	Y
12	10451	Y	N	N	Y	Y
13	15835	Y	N	N	Y	Y
14	7293	Y	N	Y	N	N
15	5515	Y	N	Y	N	N
16	10022	N	Y	N	N	N
17	21200	N	Y	N	N	Y
18	9714	Y	N	N	Y	N
19	11564	Y	N	N	Y	N
20	13564	Y	N	N	Y	Y
21	5046	Y	N	Y	N	N
